,dcID,RID
265,34003041100d2,314635
266,34003042400d0,600011
267,34003042500d0,314620
268,34003042500d1,167722
269,34003042400d1,309028
270,34003042500d2,307561
271,34003042400d2,28812
272,34003042301d0,595082
273,34003042302d0,596785
274,34003042100d0,319103
275,34003042400d3,596781
276,34003042302d1,596883
277,34003042400d4,167382
278,34003042100d1,749044
279,34003042400d5,319993
280,34003042500d3,312032
281,34027044401d0,52631
282,34003042100d2,309709
283,34003042500d4,318170
284,34003043001d0,321286
285,34003043002d0,312618
286,34003043002d1,306653
287,34003044202d0,598576
288,34003044100d0,600931
289,34003044202d1,600929
290,34003044100d1,597364
291,34003044100d2,306462
292,34003044202d2,306995
293,34003044202d3,916566
294,34003045200d0,593772
295,34003045100d0,748951
296,34003045200d1,1090237
297,34003046300d0,600363
298,34003046300d1,748682
299,34003046300d2,600361
300,34003046300d3,748680
301,34003046100d0,748257
302,34003046300d4,598505
303,34003047400d0,594991
304,34003047400d1,317092
305,34003047500d0,596812
306,34003047400d2,317094
307,34003047100d0,309614
308,34003047400d3,307482
309,34003047400d4,317091
310,34003047400d5,311527
311,34003047400d6,311081
312,34003047100d1,309614
313,34003047500d1,315277
314,34003047300d0,32289
315,34003047400d7,594994
316,34003047500d2,317102
317,34003047500d3,593111
318,34003047100d2,319081
319,34003047100d3,595081
320,34003047200d0,320786
321,34003048100d0,599777
322,34003048200d0,30077
323,34003048100d1,33114
324,34003048200d1,748394
325,34003048100d2,596904
326,34003048100d3,593198
327,34003048200d2,31852
328,34003049002d0,599597
329,34003049002d1,748892
330,34003049001d0,592873
331,34003050000d0,599027
332,34003050000d1,592531
333,34003050000d2,592531
334,34003051300d0,306831
335,34003051100d1,1225084
336,34003051300d1,310915
337,34003051300d2,595984
338,34003051200d0,306537
339,34003051300d3,314528
340,34003051400d0,748705
341,34003051100d2,314469
342,34003051300d4,749333
343,34003051400d1,1225910
344,34003051100d3,592044
345,34003051300d5,308890
346,34003051100d4,32770
347,34003051300d6,791589
348,34003051300d7,599979
349,34003051400d2,308893
350,34003051400d3,314529
351,34003052200d0,29196
352,34003052100d0,321275
353,34003052200d1,915781
354,34003052100d1,168518
355,34003052200d2,311504
356,34003052200d3,317007
357,34003052100d2,307042
358,34003053100d0,594293
359,34003036100d0,310445
360,34003054200d0,599044
361,34003054300d0,307252
362,34003054300d1,596540
363,34003054500d0,309782
364,34003054100d0,748889
365,34003054500d1,312172
366,34003054400d0,596662
367,34003054400d1,594904
368,34003054200d1,319106
369,34003054200d2,1278999
370,34003054300d2,592845
371,34003054600d0,168488
372,34003054400d2,320455
373,34003054300d3,594595
374,34003054600d1,321032
375,34003055200d0,749579
376,34003055100d1,601765
377,34003055100d2,311322
378,34003055100d3,31068
379,34003055100d4,602324
380,34003055200d1,314564
381,34003055200d2,594395
382,34003055200d3,748716
383,34003055100d5,749516
384,34003055200d4,598439
385,34003055200d5,309004
386,34003053200d0,601678
387,34003053200d1,592283
388,34003053200d2,593384
389,34003053200d3,599638
390,34003056200d0,748625
391,34003056100d0,1090710
392,34003056200d1,748510
393,34003056200d2,308777
394,34003056200d3,167266
395,34003056200d4,167266
396,34003056200d5,311920
397,34003056200d6,167026
398,34003056100d1,596197
399,34003057101d0,308231
400,34003057200d0,601053
401,34031236602d0,639443
402,34031236602d1,640871
403,34003058200d0,600564
404,34003059100d0,32417
405,34003058100d0,29748
406,34003059200d0,597601
407,34003059100d1,601080
408,34003059100d2,307841
409,34003059100d3,593923
410,34003059100d4,308783
411,34003059200d1,321061
412,34003059200d2,33126
413,34003059200d3,596964
414,34003035200d0,593446
415,34003035200d1,310050
416,34003026200d2,313234
417,34003060000d0,596147
418,34003060000d1,309207
419,34003060000d2,310300
420,34003060000d3,320198
421,34003061300d0,308716
422,34003061400d0,596252
423,34003061300d1,308717
424,34003061400d1,306847
425,34003061200d0,594029
426,34003061200d1,602649
427,34003061100d0,597434
428,34003061300d2,308894
429,34003061100d1,601931
430,34005701502d0,1102736
431,34013014600d0,321591
432,34013014100d0,607785
433,34013014600d1,604250
434,34013014700d0,602892
435,34013014200d0,605953
436,34013014300d0,33597
437,34013014300d1,751386
438,34013014300d2,607322
439,34013014700d1,607782
440,34013014700d2,327585
441,34013014400d0,1226980
442,34013014400d1,1226980
443,34013014400d2,1226980
444,34013014400d3,606695
445,34013014300d3,607322
446,34013014700d3,327658
447,34013015700d0,328042
448,34013015600d0,34865
449,34013015400d0,1226209
450,34013015400d1,1093144
451,34013015400d2,750658
452,34013014800d0,917783
